left	right	distance	observations	resultingCluster
7	18	0.03399957831585754	2	19
13	17	0.17508789172405023	2	20
8	11	0.19914003746456593	2	21
2	5	0.23870927565777444	2	22
10	3	0.27898226787009933	2	23
9	12	0.3701314340401079	2	24
23	6	0.5287250376463045	3	25
22	21	0.6243013219432967	4	26
26	1	0.7082580276018315	5	27
24	16	0.7602117079998969	3	28
14	25	0.7858566223082237	4	29
15	20	0.9878770972541462	3	30
29	27	1.09399939089444	9	31
31	19	1.3584989988387277	11	32
30	28	1.3624979237622667	6	33
4	32	1.4991880050488737	12	34
33	0	2.1254856302553424	7	35
34	35	4.94288036257192	19	36
