Parent	Identity
genotype-0	genotype-19
genotype-19	genotype-6
genotype-6	genotype-25
genotype-6	genotype-14
genotype-14	genotype-10
genotype-14	genotype-4
genotype-0	genotype-9
genotype-14	genotype-20
genotype-14	genotype-28
genotype-14	genotype-5
genotype-14	genotype-3
genotype-14	genotype-16
genotype-6	genotype-30
genotype-6	genotype-24
genotype-6	genotype-15
genotype-19	genotype-29
genotype-14	genotype-22
genotype-14	genotype-27
genotype-14	genotype-17
genotype-14	genotype-23
genotype-14	genotype-8
genotype-14	genotype-7
genotype-0	genotype-12
genotype-12	genotype-18
genotype-12	genotype-31
genotype-12	genotype-26
genotype-18	genotype-1
genotype-18	genotype-2
genotype-14	genotype-13
genotype-14	genotype-21
genotype-14	genotype-11
