left	right	distance	observations	clusterId
22	18	0.05162192588589415	2	32
10	23	0.07255096354375337	3	33
19	9	0.09198224923369527	2	34
16	12	0.13315336912709275	2	35
1	7	0.13651662261384145	2	36
11	2	0.15244943921174678	2	37
20	26	0.2720858095312341	3	38
17	5	0.2758493287024894	2	39
4	30	0.3314388440099784	3	40
3	25	0.34324598321534505	3	41
15	21	0.4003620323927815	2	42
29	0	0.44620884872855465	4	43
13	24	0.5403842822801801	4	44
31	34	0.6375880607334097	7	45
32	14	0.7133921251074206	4	46
8	35	0.7889019196410431	5	47
28	36	0.8287914555403362	9	48
39	33	0.9697378839783882	11	49
38	6	1.0809890902588886	6	50
41	40	1.4985208133361176	17	51
27	37	1.568148757126524	6	52
42	43	3.6881818029716094	23	53
